#RA  DEC  r_k20fe j_m_k20fe k_m_k20fe   k_ba   k_pa           Name   RVel   R
1.863502E+02  1.819108E+01 1.478000E+02 7.172000E+00 6.260000E+00 6.700000E-01  1.250000E+01 N4382    7.730000E+02 1.680000E+01
1.865492E+02  1.294597E+01 1.514000E+02 7.191000E+00 6.283000E+00 6.700000E-01 -5.500000E+01 N4406   -3.400000E+02 1.680000E+01
1.874450E+02  8.000410E+00 1.792000E+02 6.389000E+00 5.506000E+00 8.100000E-01 -1.750000E+01 N4472    9.440000E+02 1.680000E+01
1.875094E+02  1.363645E+01 8.200000E+01 8.255000E+00 7.364000E+00 9.000000E-01  4.000000E+01 N4477    1.263000E+03 1.680000E+01
1.877059E+02  1.239110E+01 1.360000E+02 6.826000E+00 5.904000E+00 8.600000E-01 -2.750000E+01 N4486    1.259000E+03 1.680000E+01
1.879967E+02  1.442041E+01 1.554000E+02 7.290000E+00 6.334000E+00 4.400000E-01 -4.000000E+01 N4501    2.285000E+03 1.680000E+01
1.888601E+02  1.449632E+01 1.050000E+02 8.266000E+00 7.368000E+00 1.000000E+00 -6.000000E+01 N4548    4.720000E+02 1.680000E+01
1.889162E+02  1.255604E+01 8.880000E+01 7.780000E+00 6.855000E+00 9.400000E-01 -3.000000E+01 N4552    2.390000E+02 1.680000E+01
1.891363E+02  1.125787E+01 7.780000E+01 9.367000E+00 8.481000E+00 5.900000E-01  5.750000E+01 N4567    2.218000E+03 1.680000E+01
1.891429E+02  1.123863E+01 1.048000E+02 8.635000E+00 7.625000E+00 3.900000E-01  2.800000E+01 N4568    2.247000E+03 1.680000E+01
1.905097E+02  1.164693E+01 1.090000E+02 7.773000E+00 6.866000E+00 6.500000E-01 -1.500000E+01 N4621    4.140000E+02 1.680000E+01
1.909167E+02  1.155261E+01 1.466000E+02 6.763000E+00 5.825000E+00 8.100000E-01 -7.250000E+01 N4649    1.200000E+03 1.680000E+01
1.927215E+02  4.112015E+01 1.723000E+02 6.084000E+00 5.169000E+00 7.900000E-01  8.500000E+01 N4736    3.070000E+02 4.300000E+00
1.935219E+02  2.714963E+01 5.000000E+00 1.652500E+01 1.621500E+01 1.000000E+00  9.000000E+01 U8024    3.780000E+02 4.000000E+00
1.955882E+02 -5.033404E+01 6.610000E+01 1.077400E+01 9.914000E+00 3.400000E-01  4.300000E+01 1259-50  1.372000E+03 1.840000E+01
1.966071E+02  6.770724E+01 5.000000E+00 1.674400E+01 1.662500E+01 1.000000E+00  9.000000E+01 U8201    3.300000E+01 2.800000E+00
1.989555E+02  4.202929E+01 2.042000E+02 6.697000E+00 5.728000E+00 5.800000E-01 -8.250000E+01 N5055    4.970000E+02 7.200000E+00
2.013656E+02 -4.301871E+01 2.787000E+02 5.031000E+00 3.989000E+00 8.900000E-01  4.250000E+01 N5128    5.410000E+02 4.900000E+00
2.024696E+02  4.719526E+01 1.975000E+02 6.517000E+00 5.601000E+00 6.800000E-01  5.750000E+01 N5194    4.670000E+02 7.700000E+00
2.024983E+02  4.726613E+01 1.242000E+02 7.361000E+00 6.402000E+00 9.900000E-01  2.750000E+01 N5195    5.520000E+02 9.300000E+00
2.036967E+02 -4.554744E+01 6.590000E+01 1.118900E+01 1.042200E+01 2.000000E-01 -7.750000E+01 1331-45  8.290000E+02 1.080000E+01
2.042538E+02 -2.986576E+01 3.124000E+02 5.652000E+00 4.745000E+00 7.700000E-01  4.500000E+01 N5236    5.180000E+02 4.700000E+00
2.094761E+02 -2.931573E+01 9.640000E+01 9.254000E+00 8.156000E+00 3.200000E-01  1.950000E+01 1355-29  2.661000E+03 3.730000E+01
2.108024E+02  5.434875E+01 2.363000E+02 6.901000E+00 5.943000E+00 9.900000E-01  2.850000E+01 N5457    2.310000E+02 5.400000E+00
2.132913E+02 -6.533902E+01 2.595000E+02 6.311000E+00 5.039000E+00 4.100000E-01  4.000000E+01 1409-65  4.390000E+02 4.200000E+00
2.153046E+02 -4.629790E+01 9.070000E+01 9.326000E+00 8.249000E+00 2.800000E-01 -5.300000E+01 1418-46  1.653000E+03 2.290000E+01
2.273705E+02 -5.255547E+01 9.220000E+01 9.188000E+00 7.875000E+00 3.000000E-01  4.500000E+01 1505-52  1.409000E+03 1.910000E+01
2.285560E+02 -4.680920E+01 1.094000E+02 9.337000E+00 8.568000E+00 2.200000E-01  4.050000E+01 1510-46  5.180000E+02 7.200000E+00
2.518335E+02 -5.744017E+01 5.010000E+01 1.028200E+01 9.560000E+00 3.200000E-01  3.500000E+01 1643-57  8.400000E+02 1.090000E+01
2.547623E+02 -6.021602E+01 7.760000E+01 9.548000E+00 8.642000E+00 9.100000E-01  8.250000E+01 1654-60  1.130000E+03 1.470000E+01
2.567501E+02 -6.208451E+01 5.420000E+01 1.182700E+01 1.089900E+01 2.800000E-01 -4.500000E+01 1702-62  1.506000E+03 1.950000E+01
2.771582E+02 -6.698228E+01 2.250000E+01 1.272400E+01 1.213200E+01 7.860000E-01 -3.250000E+01 1823-67  7.410000E+02 8.900000E+00
2.786032E+02 -5.849662E+01 7.280000E+01 1.016400E+01 9.223000E+00 3.200000E-01 -2.650000E+01 1830-58  2.245000E+03 2.880000E+01
2.985980E+02 -5.871356E+01 4.530000E+01 1.014800E+01 9.231000E+00 7.300000E-01 -4.000000E+01 1950-58  2.144000E+03 2.710000E+01
3.130068E+02 -6.919331E+01 1.018000E+02 1.016600E+01 9.341000E+00 2.800000E-01 -3.950000E+01 2047-69  5.980000E+02 6.700000E+00
3.156303E+02 -1.681830E+01 5.890000E+01 1.078600E+01 9.941000E+00 2.800000E-01  8.500000E+01 2059-17  1.479000E+03 2.040000E+01
3.306732E+02 -5.129659E+01 7.670000E+01 9.618000E+00 8.975000E+00 5.800000E-01 -8.250000E+01 2159-51  1.270000E+02 1.000000E+00
3.337330E+02 -6.684941E+01 7.570000E+01 1.006400E+01 8.849000E+00 2.000000E-01  2.750000E+01 2211-67  1.746000E+03 2.100000E+01
3.352393E+02 -4.603585E+01 4.940000E+01 1.152600E+01 1.065200E+01 2.600000E-01  1.250000E+01 2218-46  9.150000E+02 1.110000E+01
3.442945E+02 -3.646248E+01 9.640000E+01 7.832000E+00 6.929000E+00 7.900000E-01  4.250000E+01 2254-36  1.624000E+03 2.000000E+01
3.443065E+02 -4.339614E+01 7.990000E+01 8.484000E+00 7.608000E+00 7.700000E-01 -4.000000E+01 2254-434 1.725000E+03 2.100000E+01
3.521809E+02 -4.133348E+01 6.150000E+01 9.434000E+00 8.549000E+00 9.100000E-01  1.500000E+01 2326-41  1.512000E+03 1.810000E+01
3.536145E+02 -3.610108E+01 5.720000E+01 1.024500E+01 9.393000E+00 8.600000E-01  2.750000E+01 2331-36  7.070000E+02 8.400000E+00
3.544581E+02 -4.772778E+01 7.700000E+01 9.756000E+00 8.668000E+00 1.800000E-01 -5.350000E+01 2335-48  2.844000E+03 3.490000E+01
